,Name,BSE Code,NSE Code,MoneyControl Link,Rediff Link,Sector
144,Ansal Properties & Infrastructure Ltd.,,ANSALAPIBE,,https://money.rediff.com/companies/Ansal-Properties-Infrastructure-Ltd/11610009,
145,Antarctica Ltd.,,ANTGRAPHICBE,,https://money.rediff.com/companies/Antarctica-Ltd/17020263,
146,Apar Industries Ltd.,,APARINDS,,https://money.rediff.com/companies/Apar-Industries-Ltd/14610009,
147,Apcotex Industries Ltd.,,APCOTEXIND,,https://money.rediff.com/companies/Apcotex-Industries-Ltd/14610013,
148,Apeejay Tea Ltd.(Old),,ASSAMFRONT,,https://money.rediff.com/companies/Apeejay-Tea-Ltd-Old/11040003,
149,Apex Frozen Foods Ltd.,,APEX,,https://money.rediff.com/companies/Apex-Frozen-Foods-Ltd/11290430,
150,APL Apollo Tubes Ltd.,,APLAPOLLO,,https://money.rediff.com/companies/APL-Apollo-Tubes-Ltd/15580082,
151,Aplab Ltd.,,APLABBE,,https://money.rediff.com/companies/Aplab-Ltd/13040001,
152,Apollo Hospitals Enterprise Ltd.,,APOLLOHOSP,,https://money.rediff.com/companies/Apollo-Hospitals-Enterprise-Ltd/16550001,
153,Apollo Micro Systems Ltd.,,APOLLO,,https://money.rediff.com/companies/Apollo-Micro-Systems-Ltd/13192114,
154,Apollo Pipes Ltd.,,APOLLOPIPE,,https://money.rediff.com/companies/Apollo-Pipes-Ltd/14090239,
155,Apollo Sindoori Hotels Ltd.,,APOLSINHOT,,https://money.rediff.com/companies/Apollo-Sindoori-Hotels-Ltd/16620043,
156,Apollo Tyres Ltd.,,APOLLOTYRE,,https://money.rediff.com/companies/Apollo-Tyres-Ltd/10680001,
157,Aptech Ltd.,,APTECHT,,https://money.rediff.com/companies/Aptech-Ltd/13020130,
158,Aqua Logistics Ltd.,,AQUA,,https://money.rediff.com/companies/Aqua-Logistics-Ltd/16690192,
159,Aravali Securities & Finance Ltd.,,ARAVALISECBE,,https://money.rediff.com/companies/Aravali-Securities-Finance-Ltd/14070004,
160,Arcelormittal Nippon Steel India Ltd.,,ESTL,,https://money.rediff.com/companies/Arcelormittal-Nippon-Steel-India-Ltd/15560004,
161,Archana Software Ltd.,,SSLFINANCE,,https://money.rediff.com/companies/Archana-Software-Ltd/14060265,
162,Archidply Industries Ltd.,,ARCHIDPLY,,https://money.rediff.com/companies/Archidply-Industries-Ltd/11570044,
163,Archies Ltd.,,ARCHIES,,https://money.rediff.com/companies/Archies-Ltd/17020400,
164,Arcotech Ltd.,,ARCOTECHBE,,https://money.rediff.com/companies/Arcotech-Ltd/15100007,
165,Aries Agro Ltd.,,ARIES,,https://money.rediff.com/companies/Aries-Agro-Ltd/12120063,
166,Arihant Cotsyn Ltd.,,ARIHANTCOTBE,,https://money.rediff.com/companies/Arihant-Cotsyn-Ltd/16040003,
167,Arihant Foundations & Housing Ltd.,,ARIHANT,,https://money.rediff.com/companies/Arihant-Foundations-Housing-Ltd/11610058,
168,Arihant Industries Ltd.,,ARIHANTINDBE,,https://money.rediff.com/companies/Arihant-Industries-Ltd/16040004,
169,Arihant Superstructures Ltd.,,ARIHANTSUPBE,,https://money.rediff.com/companies/Arihant-Superstructures-Ltd/17024114,
170,Arihant Threads Ltd.,,ARIHANTRED,,https://money.rediff.com/companies/Arihant-Threads-Ltd/16030087,
171,Arman Financial Services Ltd.,,ARMANFIN,,https://money.rediff.com/companies/Arman-Financial-Services-Ltd/14060338,
172,Aro Granite Industries Ltd.,,AROGRANITE,,https://money.rediff.com/companies/Aro-Granite-Industries-Ltd/11550043,
173,Arrow Greentech Ltd.,,ARROWGREENBE,,https://money.rediff.com/companies/Arrow-Greentech-Ltd/16530096,
174,Arrow Textiles Ltd.,,ARROWTEXBE,,https://money.rediff.com/companies/Arrow-Textiles-Ltd/16490308,
175,Arshiya Ltd.,,ARSHIYABE,,https://money.rediff.com/companies/Arshiya-Ltd/15530028,
176,ARSS Infrastructure Projects Ltd.,,ARSSINFRA,,https://money.rediff.com/companies/ARSS-Infrastructure-Projects-Ltd/11600362,
177,ART Nirman Ltd.,,ARTNIRMANSM,,https://money.rediff.com/companies/ART-Nirman-Ltd/13530056,
178,Artedz Fabs Ltd.,,ARTEDZSZ,,https://money.rediff.com/companies/Artedz-Fabs-Ltd/16030300,
179,Artemis Medicare Services Ltd.,,ARTEMISMED,,https://money.rediff.com/companies/Artemis-Medicare-Services-Ltd/12540802,
180,Artson Engineering Ltd.,,ARTSONENGGBE,,https://money.rediff.com/companies/Artson-Engineering-Ltd/13510027,
181,Aruna Hotels Ltd.,,ARUNASUGARBE,,https://money.rediff.com/companies/Aruna-Hotels-Ltd/11080001,
182,Arvee Laboratories (India) Ltd.,,ARVEESM,,https://money.rediff.com/companies/Arvee-Laboratories-India-Ltd/16550442,
183,Arvind Fashions Ltd.,,ARVINDFASN,,https://money.rediff.com/companies/Arvind-Fashions-Ltd/16070063,
184,Arvind Ltd.,,ARVIND,,https://money.rediff.com/companies/Arvind-Ltd/16010001,
185,Arvind Remedies Ltd.,,ARVINDREMBZ,,https://money.rediff.com/companies/Arvind-Remedies-Ltd/12540340,
186,Arvind SmartSpaces Ltd.,,ARVSMART,,https://money.rediff.com/companies/Arvind-SmartSpaces-Ltd/15210337,
187,Asahi India Glass Ltd.,,ASAHIINDIA,,https://money.rediff.com/companies/Asahi-India-Glass-Ltd/14580002,
188,Asahi Songwon Colors Ltd.,,ASAHISONG,,https://money.rediff.com/companies/Asahi-Songwon-Colors-Ltd/12070113,
189,Ascom Leasing & Investments Ltd.,,ASCOMSM,,https://money.rediff.com/companies/Ascom-Leasing-Investments-Ltd/14092640,
190,Ashapura Intimates Fashion Ltd.,,AIFLBZ,,https://money.rediff.com/companies/Ashapura-Intimates-Fashion-Ltd/16070141,
191,Ashapura Minechem Ltd.,,ASHAPURMIN,,https://money.rediff.com/companies/Ashapura-Minechem-Ltd/17020078,
192,Ashco Niulab Industries Ltd.,,ASHCONIULBE,,https://money.rediff.com/companies/Ashco-Niulab-Industries-Ltd/13040015,
193,Ashiana Housing Ltd.,,ASHIANA,,https://money.rediff.com/companies/Ashiana-Housing-Ltd/11610007,
194,Ashima Ltd.,,ASHIMASYNBE,,https://money.rediff.com/companies/Ashima-Ltd/16020087,
195,Ashok Alco-Chem Ltd.,,ASHOKALCOBE,,https://money.rediff.com/companies/Ashok-Alco-Chem-Ltd/12070066,
196,Ashok Leyland Ltd.,,ASHOKLEY,,https://money.rediff.com/companies/Ashok-Leyland-Ltd/10510001,
197,Ashoka Buildcon Ltd.,,ASHOKA,,https://money.rediff.com/companies/Ashoka-Buildcon-Ltd/11600156,
198,Ashram Online.com Ltd.,,TATIASKYLNBE,,https://money.rediff.com/companies/Ashram-Online-com-Ltd/17020221,
199,ASI Industries Ltd.,,ASOCSTONEBE,,https://money.rediff.com/companies/ASI-Industries-Ltd/11550001,
200,Asian Electronics Ltd.,,ASIANELECBZ,,https://money.rediff.com/companies/Asian-Electronics-Ltd/13080006,
201,Asian Granito India Ltd.,,ASIANTILES,,https://money.rediff.com/companies/Asian-Granito-India-Ltd/11540067,
202,Asian Hotels (East) Ltd.,,AHLEAST,,https://money.rediff.com/companies/Asian-Hotels-East-Ltd/16620085,
203,Asian Hotels (North) Ltd.,,ASIANHOTNR,,https://money.rediff.com/companies/Asian-Hotels-North-Ltd/16560001,
204,Asian Hotels (West) Ltd.,,AHLWEST,,https://money.rediff.com/companies/Asian-Hotels-West-Ltd/16620084,
205,Asian Paints Ltd.,,ASIANPAINT,,https://money.rediff.com/companies/Asian-Paints-Ltd/11580001,
206,ASL Industries Ltd.,,ASLINDSM,,https://money.rediff.com/companies/ASL-Industries-Ltd/12270086,
207,Aspinwall & Company Ltd.,,ASPINWALL,,https://money.rediff.com/companies/Aspinwall-Company-Ltd/17020079,
208,Assam Company (India) Ltd.,,ASSAMCOBE,,https://money.rediff.com/companies/Assam-Company-India-Ltd/11040002,
209,Associated Alcohols & Breweries Ltd.,,ASALCBR,,https://money.rediff.com/companies/Associated-Alcohols-Breweries-Ltd/11100015,
210,Astec Lifesciences Ltd.,,ASTEC,,https://money.rediff.com/companies/Astec-Lifesciences-Ltd/12540651,
211,Aster DM Healthcare Ltd.,,ASTERDM,,https://money.rediff.com/companies/Aster-DM-Healthcare-Ltd/16550441,
212,Astra Microwave Products Ltd.,,ASTRAMICRO,,https://money.rediff.com/companies/Astra-Microwave-Products-Ltd/13110035,
213,Astral Poly Technik Ltd.,,ASTRAL,,https://money.rediff.com/companies/Astral-Poly-Technik-Ltd/12190030,
214,AstraZeneca Pharma India Ltd.,,ASTRAZEN,,https://money.rediff.com/companies/AstraZeneca-Pharma-India-Ltd/12540005,
